City,Temperature F,Max Temperature F,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Country,Date,City Id
Saint-Philippe,64.26,68.0,-21.36,55.77,77,37,4.7,RE,1598812760,935215
San Policarpo,79.79,79.79,12.18,125.51,83,100,7.83,PH,1598812761,1688696
Arraial do Cabo,83.95,86.0,-22.97,-42.03,61,0,14.99,BR,1598812761,3471451
Manado,75.2,75.2,1.49,124.85,94,20,2.24,ID,1598812481,1636544
Tuatapere,49.57,49.57,-46.13,167.68,66,70,9.95,NZ,1598812762,2180815
Puerto Ayora,75.2,75.2,-0.74,-90.35,60,100,20.8,EC,1598812762,3652764
Xichang,66.34,66.34,27.9,102.26,83,100,3.15,CN,1598812745,1789647
Henties Bay,55.99,55.99,-22.12,14.28,77,0,11.83,NA,1598812762,3356832
Siniscola,78.8,78.8,40.57,9.69,44,20,11.41,IT,1598812763,3166509
Yekepa,71.1,71.1,7.58,-8.54,95,13,4.21,LR,1598812763,2272790
Punta Arenas,35.29,35.6,-53.15,-70.92,51,75,16.11,CL,1598812763,3874787
Alyangula,78.8,78.8,-13.85,136.42,65,90,3.36,AU,1598812640,2079582
Atuona,78.42,78.42,-9.8,-139.03,79,73,22.19,PF,1598812764,4020109
PEMEX,88.2,88.2,18.44,-96.35,73,84,5.41,MX,1598812764,3515200
San Julián,72.14,72.14,21.02,-102.17,68,80,4.94,MX,1598812764,3985797
Avarua,73.4,73.4,-21.21,-159.78,78,2,13.87,CK,1598812765,4035715
Albany,70.38,73.0,42.6,-73.97,43,0,1.99,US,1598812765,5106841
Butaritari,82.49,82.49,3.07,172.79,75,2,11.68,KI,1598812765,2110227
Waingapu,73.94,73.94,-9.66,120.26,85,35,10.47,ID,1598812766,1622318
Edgecumbe,43.56,52.0,-37.98,176.83,95,21,1.01,NZ,1598812766,2191451
Qian’an,64.63,64.63,44.99,124.06,89,100,11.03,CN,1598812766,2035410
Bambous Virieux,70.83,71.6,-20.34,57.76,83,75,14.99,MU,1598812767,1106677
Hohhot,57.2,57.2,40.81,111.65,93,75,6.71,CN,1598812767,2036892
Taksimo,51.26,51.26,56.34,114.88,85,57,0.89,RU,1598812767,2015701
Quatre Cocos,70.75,71.6,-20.21,57.76,83,75,14.99,MU,1598812768,1106643
Castro,79.29,79.29,-24.79,-50.01,44,0,4.41,BR,1598812768,3466704
Mataura,49.33,49.33,-46.19,168.86,58,100,9.13,NZ,1598812769,6201424
Rikitea,69.3,69.3,-23.12,-134.97,83,48,19.42,PF,1598812769,4030556
Hilo,75.96,78.8,19.73,-155.09,74,75,3.36,US,1598812769,5855927
College,54.64,57.0,64.86,-147.8,66,75,3.36,US,1598812575,5859699
Ushuaia,28.4,28.4,-54.8,-68.3,92,75,27.51,AR,1598812770,3833367
Beyneu,75.47,75.47,45.32,55.2,42,3,9.57,KZ,1598812770,610298
Waipawa,53.67,55.4,-41.41,175.52,76,0,26.4,NZ,1598812770,2206874
Olivet,61.27,62.01,47.86,1.9,82,75,18.34,FR,1598812746,2989611
Yellowknife,52.97,53.6,62.46,-114.35,58,20,16.11,CA,1598812735,6185377
Carnarvon,60.8,60.8,-24.87,113.63,93,0,8.05,AU,1598812771,2074865
Saint Anthony,75.22,77.0,45.02,-93.22,47,20,12.75,US,1598812587,5044290
Port Alfred,51.53,51.53,-33.59,26.89,70,58,11.61,ZA,1598812772,964432
Port Loko,74.05,74.05,8.77,-12.78,96,100,4.14,SL,1598812772,2404433
Kailua,80.19,82.4,21.4,-157.74,65,20,17.22,US,1598812772,5847486
Geraldton,42.8,42.8,-28.77,114.6,93,0,5.82,AU,1598812772,2070998
Palmer,73.36,75.2,42.16,-72.33,41,40,18.34,US,1598812773,4946620
Boa Vista,86.0,86.0,2.82,-60.67,62,75,11.41,BR,1598812773,3664980
Puerto Madero,89.6,89.6,14.72,-92.42,55,20,5.97,MX,1598812774,3520989
Husavik,60.8,60.8,66.04,-17.34,59,75,24.16,IS,1598812774,2629833
East London,50.0,50.0,-33.02,27.91,66,0,6.93,ZA,1598812774,1006984
Iskateley,49.89,49.89,67.68,53.15,97,100,7.29,RU,1598812775,866062
Sistranda,49.28,51.8,63.73,8.83,66,40,10.29,NO,1598812775,3139597
Ghanzi,56.89,56.89,-21.57,21.78,33,0,7.85,BW,1598812775,933759
Vanimo,78.08,78.08,-2.67,141.3,81,100,3.47,PG,1598812776,2084442
Saint-Augustin,60.03,60.03,51.23,-58.65,57,10,14.99,CA,1598812776,6137462
Tiznit Province,76.03,76.03,29.58,-9.5,45,0,3.58,MA,1598812776,2527087
Kaoma,73.78,73.78,-14.78,24.8,45,0,8.79,ZM,1598812777,913323
Huesca,66.92,68.0,42.14,-0.41,40,15,13.87,ES,1598812777,3120514
Visby,59.27,61.0,57.64,18.3,87,8,3.36,SE,1598812777,2662689
Fortuna,64.4,66.0,40.6,-124.16,63,1,6.93,US,1598812777,5563839
Ntcheu,69.42,69.42,-14.82,34.64,33,0,3.74,MW,1598812778,924492
Kieta,79.9,79.9,-6.22,155.63,74,97,5.55,PG,1598812778,2094027
Selma,83.79,86.0,36.57,-119.61,42,1,6.93,US,1598812779,5394329
Abhā,77.85,78.8,18.22,42.51,17,79,17.22,SA,1598812779,110690
Ulladulla,53.58,59.0,-35.35,150.47,62,0,9.17,AU,1598812780,2145554
Dano,75.99,75.99,11.15,-3.07,87,80,5.06,BF,1598812780,2361586
Torbay,67.91,69.01,47.67,-52.73,100,90,23.04,CA,1598812521,6167817
Kattivākkam,84.2,84.2,13.22,80.32,83,40,5.82,IN,1598812780,1267433
Bograd,50.0,50.0,54.23,90.83,93,18,4.99,RU,1598812781,1509847
Beidao,53.74,53.74,34.57,105.89,84,8,0.29,CN,1598812782,1816751
Samarineşti,74.79,74.79,44.75,23.05,44,0,6.04,RO,1598812782,668119
Rome,69.48,71.01,43.21,-75.46,52,40,8.05,US,1598812565,5134295
Vestmanna,51.8,51.8,62.16,-7.17,93,100,9.17,FO,1598812782,2610343
Souillac,71.6,71.6,-20.52,57.52,83,75,14.99,MU,1598812783,933995
New Norfolk,40.57,44.01,-42.78,147.06,72,0,3.0,AU,1598812783,2155415
Marawi,75.99,75.99,8.0,124.29,86,100,4.0,PH,1598812784,1701054
Gamboma,80.26,80.26,-1.88,15.86,68,100,4.14,CG,1598812784,2259947
Juegang,82.0,82.0,32.32,121.19,58,0,8.61,CN,1598812784,1804979
Glenwood Springs,68.22,73.99,39.55,-107.32,41,1,5.82,US,1598812785,5423092
Barcelona,71.78,75.2,41.39,2.16,57,40,5.82,ES,1598812529,3128760
Osypenko,80.01,80.01,46.91,36.83,100,0,5.01,UA,1598812785,698316
Bougouni,76.12,76.12,11.42,-7.48,89,100,3.71,ML,1598812786,2459775
Cidreira,57.61,57.61,-30.18,-50.21,93,100,14.14,BR,1598812786,3466165
Shitanjing,58.62,58.62,39.23,106.34,63,0,5.23,CN,1598812786,1794971
Coyhaique,51.8,51.8,-45.58,-72.07,78,20,4.7,CL,1598812787,3894426
Haines Junction,47.55,47.55,60.75,-137.51,74,100,4.76,CA,1598812787,5969025
